,,,,12 Team,,,14 Team,10 Team,,AAV,Health Report,,
Rank,Name,Team,Pos,Fantrax,MFL,NFFC,MFL,MFL,NFFC,MFL,Status,Injury,fp_PPR
124,DeVante Parker,MIA,WR,127.5,-,128.34,133.6,-,134.55,$2.00 ,,,
125,Matt Ryan,ATL,QB,135.5,-,131.62,96.6,-,128.82,$6.20 ,,,
126,Russell Gage,ATL,WR,142.09,-,132.95,-,-,137.46,$5.05 ,,,
127,Jonnu Smith,NE,TE,147.13,-,134.15,-,-,126.37,$2.97 ,,,
128,Elijah Moore,NYJ,WR,136.71,-,134.45,-,-,128.5,$5.81 ,COVID,Quadriceps,
129,Alexander Mattison,MIN,RB,144.07,-,135.32,-,-,131.68,$1.86 ,,,
130,Justin Fields,CHI,QB,152.28,-,135.79,-,-,131.03,$4.66 ,,,
131,J.D. McKissic,WAS,RB,139.44,-,137.88,154.4,-,145.38,$5.01 ,IR,Concussion,
132,Henry Ruggs,FA,WR,132.04,-,138.03,124.4,-,133.3,$1.42 ,,,
133,Kirk Cousins,MIN,QB,154.97,-,140.59,90.8,-,136.06,$4.33 ,,,
134,Trey Lance,SF,QB,145.03,-,141.92,-,-,125.24,$4.70 ,,,
135,Latavius Murray,BAL,RB,184.74,-,144.86,118.2,-,150,$1.69 ,,,
136,Baker Mayfield,CLE,QB,144.36,-,146.36,88.8,-,147.28,$3.48 ,IR,Shoulder - Labrum,
137,Rob Gronkowski,TB,TE,138.23,11,147.56,70,-,138.18,$2.74 ,,,
138,Jalen Reagor,PHI,WR,165,-,148.03,-,-,144.37,$2.12 ,,,
139,Phillip Lindsay,MIA,RB,186.24,-,148.57,-,-,161.85,$4.27 ,,,
140,Evan Engram,NYG,TE,139.7,-,148.71,-,-,144.12,$4.32 ,,,
141,Kenneth Gainwell,PHI,RB,180.51,-,148.79,-,-,163.02,$1.98 ,,,
142,Rondale Moore,ARI,WR,163.06,-,150.44,-,-,143.43,$3.24 ,,,
